id	exp	bam	assembly	genotype	replicate	sequencing
EGAR00001733447_pat_261_Graz_50_1	EGAR00001733447_pat_261_Graz_50_1	EGAR00001733447_pat_261_Graz_50_1_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733448_pat_262_Graz_51_1	EGAR00001733448_pat_262_Graz_51_1	EGAR00001733448_pat_262_Graz_51_1_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733449_pat_263_Graz_52	EGAR00001733449_pat_263_Graz_52	EGAR00001733449_pat_263_Graz_52_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733450_pat_264_Graz_53	EGAR00001733450_pat_264_Graz_53	EGAR00001733450_pat_264_Graz_53_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733451_pat_265_Graz_54	EGAR00001733451_pat_265_Graz_54	EGAR00001733451_pat_265_Graz_54_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733452_pat_266_Graz_55_1	EGAR00001733452_pat_266_Graz_55_1	EGAR00001733452_pat_266_Graz_55_1_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733453_pat_267_Graz_56_2	EGAR00001733453_pat_267_Graz_56_2	EGAR00001733453_pat_267_Graz_56_2_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733454_pat_268_Graz_57	EGAR00001733454_pat_268_Graz_57	EGAR00001733454_pat_268_Graz_57_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733455_pat_330_N1298_16	EGAR00001733455_pat_330_N1298_16	EGAR00001733455_pat_330_N1298_16_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733456_pat_330_N1298_16_fv	EGAR00001733456_pat_330_N1298_16_fv	EGAR00001733456_pat_330_N1298_16_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733457_pat_331_N1835_16	EGAR00001733457_pat_331_N1835_16	EGAR00001733457_pat_331_N1835_16_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733458_pat_331_N1835_16_fv	EGAR00001733458_pat_331_N1835_16_fv	EGAR00001733458_pat_331_N1835_16_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733459_pat_332_N255_16	EGAR00001733459_pat_332_N255_16	EGAR00001733459_pat_332_N255_16_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733460_pat_332_N255_16_fv	EGAR00001733460_pat_332_N255_16_fv	EGAR00001733460_pat_332_N255_16_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733461_pat_333_N2712_15	EGAR00001733461_pat_333_N2712_15	EGAR00001733461_pat_333_N2712_15_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733462_pat_333_N2712_15_fv	EGAR00001733462_pat_333_N2712_15_fv	EGAR00001733462_pat_333_N2712_15_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733463_pat_334_N570_16	EGAR00001733463_pat_334_N570_16	EGAR00001733463_pat_334_N570_16_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733464_pat_334_N570_16_fv	EGAR00001733464_pat_334_N570_16_fv	EGAR00001733464_pat_334_N570_16_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733465_pat_336_N724_16_fv	EGAR00001733465_pat_336_N724_16_fv	EGAR00001733465_pat_336_N724_16_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733466_pat_336_N727_16	EGAR00001733466_pat_336_N727_16	EGAR00001733466_pat_336_N727_16_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733467_pat_337_N940_16	EGAR00001733467_pat_337_N940_16	EGAR00001733467_pat_337_N940_16_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
EGAR00001733468_pat_337_N940_16_fv	EGAR00001733468_pat_337_N940_16_fv	EGAR00001733468_pat_337_N940_16_fv_sickle_bismark_bt2.bam	GRCh38	tbd	tbd	single
